gene	pval	dev_exp	fdr	significant	effect_size	pseudoDEG
11 - XAF1	1.1102230246251565e-16	0.45420861861153894	4.066751005952954e-16	True	0.5239926086772421	True
14 - PLSCR1	1.1102230246251565e-16	0.5041985081180782	4.066751005952954e-16	True	0.542936732688038	True
14 - NCF1	1.1102230246251565e-16	0.4403686820423802	4.066751005952954e-16	True	0.3999954334663814	True
14 - GBP1	1.1102230246251565e-16	0.38496221416198106	4.066751005952954e-16	True	0.4103907563933765	True
12 - CLU	1.1102230246251565e-16	0.4762430044297491	4.066751005952954e-16	True	0.4838732976101018	True
7 - ISG15	1.1102230246251565e-16	0.501780185612253	4.066751005952954e-16	True	0.5845847932739688	True
9 - IFI44L	1.1102230246251565e-16	0.4388381298570303	4.066751005952954e-16	True	0.4993520208727263	True
14 - CLU	1.1102230246251565e-16	0.47190365968636605	4.066751005952954e-16	True	0.51704898520605	True
14 - IFIT1	1.1102230246251565e-16	0.43076824435180827	4.066751005952954e-16	True	0.5119826191216468	True
12 - NKG7	1.1102230246251565e-16	0.4397963624868497	4.066751005952954e-16	True	0.4953546536084358	True
11 - IFI44L	1.1102230246251565e-16	0.3914011300137108	4.066751005952954e-16	True	0.44818872704100365	True
2 - IFI44L	1.1102230246251565e-16	0.37043358784141744	4.066751005952954e-16	True	0.4376002442858255	True
11 - ISG15	1.1102230246251565e-16	0.43220290425304964	4.066751005952954e-16	True	0.5200155161682349	True
14 - IFI44L	1.1102230246251565e-16	0.5039442665693612	4.066751005952954e-16	True	0.5480915366930561	True
12 - MT2A	1.1102230246251565e-16	0.42378187945730117	4.066751005952954e-16	True	0.43538000816343675	True
13 - IFI6	1.1102230246251565e-16	0.5860893332625103	4.066751005952954e-16	True	0.6440804262352975	True
14 - ISG20	1.1102230246251565e-16	0.34862803329352365	4.066751005952954e-16	True	0.4134762491177805	True
13 - ISG15	1.1102230246251565e-16	0.5352675675066716	4.066751005952954e-16	True	0.6073580280286766	True
3 - IFI27	1.1102230246251565e-16	0.3557007154510725	4.066751005952954e-16	True	0.42432351135865604	True
14 - SERPING1	1.1102230246251565e-16	0.5579802148459975	4.066751005952954e-16	True	0.61658341130336	True
14 - FCGR1A	1.1102230246251565e-16	0.4798732019186288	4.066751005952954e-16	True	0.4845924106685826	True
13 - MX1	1.1102230246251565e-16	0.5310979269117758	4.066751005952954e-16	True	0.5813648455607939	True
13 - IFITM2	1.1102230246251565e-16	0.5255617824331642	4.066751005952954e-16	True	0.5189417807895946	True
14 - MX1	1.1102230246251565e-16	0.511562728285574	4.066751005952954e-16	True	0.5596221607227272	True
9 - ISG15	1.1102230246251565e-16	0.49213798565068245	4.066751005952954e-16	True	0.5615899513669567	True
14 - MNDA	1.1102230246251565e-16	0.4193771305005094	4.066751005952954e-16	True	0.4335375992125978	True
13 - IFI44L	1.1102230246251565e-16	0.4188668398385139	4.066751005952954e-16	True	0.46039333640309804	True
1 - MX1	1.1102230246251565e-16	0.3206701851773579	4.066751005952954e-16	True	0.37774627599422933	True
14 - LY6E	1.1102230246251565e-16	0.37023078698974987	4.066751005952954e-16	True	0.3936820990296668	True
13 - MT2A	1.1102230246251565e-16	0.43984943195978554	4.066751005952954e-16	True	0.4663185510365781	True
12 - PLAC8	1.1102230246251565e-16	0.5563974024399797	4.066751005952954e-16	True	0.5904869719425649	True
14 - IRF7	1.1102230246251565e-16	0.4404859195977383	4.066751005952954e-16	True	0.5062266759934346	True
2 - IFI6	1.1102230246251565e-16	0.3467800155110057	4.066751005952954e-16	True	0.41372196880252315	True
14 - MS4A6A	1.1102230246251565e-16	0.42907030540981217	4.066751005952954e-16	True	0.3963915475908979	True
11 - IRF7	1.1102230246251565e-16	0.28991238254489493	4.066751005952954e-16	True	0.3768400990205097	True
1 - IFI44L	1.1102230246251565e-16	0.2982649063870232	4.066751005952954e-16	True	0.3643594690096849	True
14 - XAF1	1.1102230246251565e-16	0.40537396888143507	4.066751005952954e-16	True	0.4597901844853678	True
11 - MX1	1.1102230246251565e-16	0.45200677923211197	4.066751005952954e-16	True	0.5242853082585855	True
14 - PLAC8	1.1102230246251565e-16	0.5139341485481572	4.066751005952954e-16	True	0.5245996690689623	True
12 - IFI44L	1.1102230246251565e-16	0.47892592707693526	4.066751005952954e-16	True	0.5190253836968534	True
13 - CLU	1.1102230246251565e-16	0.4679519308252861	4.066751005952954e-16	True	0.4736493025874334	True
14 - FPR1	1.1102230246251565e-16	0.4383925139411101	4.066751005952954e-16	True	0.41825152956570905	True
1 - CLU	1.1102230246251565e-16	0.34920266229602437	4.066751005952954e-16	True	0.3793334478426085	True
1 - XAF1	1.1102230246251565e-16	0.3343799467108568	4.066751005952954e-16	True	0.40243216987777375	True
2 - ISG15	1.1102230246251565e-16	0.37161141303671874	4.066751005952954e-16	True	0.44800727379244093	True
9 - IFI6	1.1102230246251565e-16	0.5087096235170923	4.066751005952954e-16	True	0.5695979840263228	True
6 - IFI6	1.1102230246251565e-16	0.4982409176585495	4.066751005952954e-16	True	0.5780500740638045	True
12 - IFITM2	1.1102230246251565e-16	0.4544370472657445	4.066751005952954e-16	True	0.4488712448568969	True
12 - APOBEC3A	1.1102230246251565e-16	0.3522378311331732	4.066751005952954e-16	True	0.37951071164722733	True
12 - IFITM1	1.1102230246251565e-16	0.5377814027075833	4.066751005952954e-16	True	0.6089391869464874	True
12 - IFIT3	1.1102230246251565e-16	0.5263595074470242	4.066751005952954e-16	True	0.5968466738635939	True
7 - IFI6	1.1102230246251565e-16	0.49257081127191615	4.066751005952954e-16	True	0.5684110496827538	True
6 - IFI44L	1.1102230246251565e-16	0.49217752945660576	4.066751005952954e-16	True	0.5667128402330908	True
14 - VCAN	1.1102230246251565e-16	0.4090817292209753	4.066751005952954e-16	True	0.4165496711813376	True
11 - IFITM1	1.1102230246251565e-16	0.44082326728643273	4.066751005952954e-16	True	0.5095145746670762	True
4 - IFI44L	1.1102230246251565e-16	0.44542110483192054	4.066751005952954e-16	True	0.5156597609853938	True
14 - ISG15	1.1102230246251565e-16	0.5513488267703592	4.066751005952954e-16	True	0.6044837362771607	True
3 - ISG15	1.1102230246251565e-16	0.40577661312158775	4.066751005952954e-16	True	0.47778839968859066	True
3 - IFITM1	1.1102230246251565e-16	0.3203054101527033	4.066751005952954e-16	True	0.37565478698506133	True
10 - IFI44L	1.1102230246251565e-16	0.4534569512213328	4.066751005952954e-16	True	0.5319583162855325	True
12 - IFI6	1.1102230246251565e-16	0.5878115047907579	4.066751005952954e-16	True	0.634627329147409	True
12 - MX1	1.1102230246251565e-16	0.5283130853331618	4.066751005952954e-16	True	0.5769650025690148	True
14 - IFITM1	1.1102230246251565e-16	0.4659749946449182	4.066751005952954e-16	True	0.5003265580249773	True
12 - IFITM3	1.1102230246251565e-16	0.5855545160125417	4.066751005952954e-16	True	0.5677460214861813	True
5 - IFI27	1.1102230246251565e-16	0.3813305729394444	4.066751005952954e-16	True	0.412391369197947	True
13 - NKG7	1.1102230246251565e-16	0.36208518047572047	4.066751005952954e-16	True	0.42592859337440975	True
